timestamp,price_yuan_kWh,price_yuan_per_kwh,price_p90
2025-10-11 19:50:00+00:00,1.09,1.09,1.21
2025-10-11 19:55:00+00:00,1.09,1.09,1.21
2025-10-11 20:00:00+00:00,1.08,1.08,1.20
2025-10-11 20:05:00+00:00,1.09,1.09,1.21
2025-10-11 20:10:00+00:00,1.10,1.10,1.22
2025-10-11 20:15:00+00:00,1.09,1.09,1.21
2025-10-11 20:20:00+00:00,1.08,1.08,1.20
2025-10-11 20:25:00+00:00,1.08,1.08,1.20
2025-10-11 20:30:00+00:00,1.07,1.07,1.19
2025-10-11 20:35:00+00:00,1.08,1.08,1.20
2025-10-11 20:40:00+00:00,1.10,1.10,1.22
2025-10-11 20:45:00+00:00,1.11,1.11,1.23
2025-10-11 20:50:00+00:00,1.11,1.11,1.23
2025-10-11 20:55:00+00:00,1.11,1.11,1.23
2025-10-11 21:00:00+00:00,1.11,1.11,1.23
2025-10-11 21:05:00+00:00,1.10,1.10,1.22
2025-10-11 21:10:00+00:00,1.08,1.08,1.20
2025-10-11 21:15:00+00:00,1.10,1.10,1.22
2025-10-11 21:20:00+00:00,1.11,1.11,1.23
2025-10-11 21:25:00+00:00,1.10,1.10,1.22
2025-10-11 21:30:00+00:00,1.08,1.08,1.20
2025-10-11 21:35:00+00:00,1.11,1.11,1.23
2025-10-11 21:40:00+00:00,1.14,1.14,1.26
2025-10-11 21:45:00+00:00,1.13,1.13,1.25
2025-10-11 21:50:00+00:00,1.12,1.12,1.24
2025-10-11 21:55:00+00:00,0.94,0.94,1.06
2025-10-11 22:00:00+00:00,0.76,0.76,0.88
2025-10-11 22:05:00+00:00,0.76,0.76,0.88
2025-10-11 22:10:00+00:00,0.76,0.76,0.88
2025-10-11 22:15:00+00:00,0.75,0.75,0.87
2025-10-11 22:20:00+00:00,0.75,0.75,0.87
2025-10-11 22:25:00+00:00,0.75,0.75,0.87
2025-10-11 22:30:00+00:00,0.75,0.75,0.87
2025-10-11 22:35:00+00:00,0.74,0.74,0.86
2025-10-11 22:40:00+00:00,0.73,0.73,0.85
2025-10-11 22:45:00+00:00,0.73,0.73,0.85
2025-10-11 22:50:00+00:00,0.73,0.73,0.85
2025-10-11 22:55:00+00:00,0.75,0.75,0.87
2025-10-11 23:00:00+00:00,0.77,0.77,0.89
2025-10-11 23:05:00+00:00,0.75,0.75,0.87
2025-10-11 23:10:00+00:00,0.72,0.72,0.84
2025-10-11 23:15:00+00:00,0.74,0.74,0.86
2025-10-11 23:20:00+00:00,0.75,0.75,0.87
2025-10-11 23:25:00+00:00,0.75,0.75,0.87
2025-10-11 23:30:00+00:00,0.76,0.76,0.88
2025-10-11 23:35:00+00:00,0.76,0.76,0.88
2025-10-11 23:40:00+00:00,0.76,0.76,0.88
2025-10-11 23:45:00+00:00,0.74,0.74,0.86
2025-10-11 23:50:00+00:00,0.73,0.73,0.85
