timestamp,ef_kg_kWh,ef_kg_per_kwh,ef_p90
2025-10-11 15:10:00+00:00,0.60,0.60,0.68
2025-10-11 15:15:00+00:00,0.61,0.61,0.69
2025-10-11 15:20:00+00:00,0.62,0.62,0.70
2025-10-11 15:25:00+00:00,0.62,0.62,0.70
2025-10-11 15:30:00+00:00,0.63,0.63,0.71
2025-10-11 15:35:00+00:00,0.62,0.62,0.70
2025-10-11 15:40:00+00:00,0.60,0.60,0.68
2025-10-11 15:45:00+00:00,0.61,0.61,0.69
2025-10-11 15:50:00+00:00,0.62,0.62,0.70
2025-10-11 15:55:00+00:00,0.62,0.62,0.70
2025-10-11 16:00:00+00:00,0.61,0.61,0.69
2025-10-11 16:05:00+00:00,0.63,0.63,0.71
2025-10-11 16:10:00+00:00,0.66,0.66,0.74
2025-10-11 16:15:00+00:00,0.62,0.62,0.70
2025-10-11 16:20:00+00:00,0.59,0.59,0.67
2025-10-11 16:25:00+00:00,0.60,0.60,0.68
2025-10-11 16:30:00+00:00,0.62,0.62,0.70
2025-10-11 16:35:00+00:00,0.62,0.62,0.70
2025-10-11 16:40:00+00:00,0.62,0.62,0.70
2025-10-11 16:45:00+00:00,0.62,0.62,0.70
2025-10-11 16:50:00+00:00,0.61,0.61,0.69
2025-10-11 16:55:00+00:00,0.61,0.61,0.69
2025-10-11 17:00:00+00:00,0.62,0.62,0.70
2025-10-11 17:05:00+00:00,0.61,0.61,0.69
2025-10-11 17:10:00+00:00,0.60,0.60,0.68
2025-10-11 17:15:00+00:00,0.61,0.61,0.69
2025-10-11 17:20:00+00:00,0.63,0.63,0.71
2025-10-11 17:25:00+00:00,0.62,0.62,0.70
2025-10-11 17:30:00+00:00,0.62,0.62,0.70
2025-10-11 17:35:00+00:00,0.62,0.62,0.70
2025-10-11 17:40:00+00:00,0.62,0.62,0.70
2025-10-11 17:45:00+00:00,0.64,0.64,0.72
2025-10-11 17:50:00+00:00,0.66,0.66,0.74
2025-10-11 17:55:00+00:00,0.64,0.64,0.72
2025-10-11 18:00:00+00:00,0.61,0.61,0.69
2025-10-11 18:05:00+00:00,0.60,0.60,0.68
2025-10-11 18:10:00+00:00,0.60,0.60,0.68
2025-10-11 18:15:00+00:00,0.60,0.60,0.68
2025-10-11 18:20:00+00:00,0.61,0.61,0.69
2025-10-11 18:25:00+00:00,0.61,0.61,0.69
2025-10-11 18:30:00+00:00,0.62,0.62,0.70
2025-10-11 18:35:00+00:00,0.62,0.62,0.70
2025-10-11 18:40:00+00:00,0.62,0.62,0.70
2025-10-11 18:45:00+00:00,0.63,0.63,0.71
2025-10-11 18:50:00+00:00,0.64,0.64,0.72
2025-10-11 18:55:00+00:00,0.68,0.68,0.76
2025-10-11 19:00:00+00:00,0.72,0.72,0.80
2025-10-11 19:05:00+00:00,0.72,0.72,0.80
2025-10-11 19:10:00+00:00,0.72,0.72,0.80
2025-10-11 19:15:00+00:00,0.72,0.72,0.80
2025-10-11 19:20:00+00:00,0.73,0.73,0.81
2025-10-11 19:25:00+00:00,0.72,0.72,0.80
2025-10-11 19:30:00+00:00,0.72,0.72,0.80
2025-10-11 19:35:00+00:00,0.72,0.72,0.80
2025-10-11 19:40:00+00:00,0.73,0.73,0.81
2025-10-11 19:45:00+00:00,0.73,0.73,0.81
2025-10-11 19:50:00+00:00,0.74,0.74,0.82
2025-10-11 19:55:00+00:00,0.73,0.73,0.81
2025-10-11 20:00:00+00:00,0.72,0.72,0.80
2025-10-11 20:05:00+00:00,0.72,0.72,0.80
2025-10-11 20:10:00+00:00,0.73,0.73,0.81
2025-10-11 20:15:00+00:00,0.72,0.72,0.80
2025-10-11 20:20:00+00:00,0.70,0.70,0.78
2025-10-11 20:25:00+00:00,0.72,0.72,0.80
2025-10-11 20:30:00+00:00,0.73,0.73,0.81
2025-10-11 20:35:00+00:00,0.71,0.71,0.79
2025-10-11 20:40:00+00:00,0.69,0.69,0.77
2025-10-11 20:45:00+00:00,0.70,0.70,0.78
2025-10-11 20:50:00+00:00,0.71,0.71,0.79
2025-10-11 20:55:00+00:00,0.72,0.72,0.80
2025-10-11 21:00:00+00:00,0.73,0.73,0.81
2025-10-11 21:05:00+00:00,0.71,0.71,0.79
2025-10-11 21:10:00+00:00,0.69,0.69,0.77
2025-10-11 21:15:00+00:00,0.70,0.70,0.78
2025-10-11 21:20:00+00:00,0.71,0.71,0.79
2025-10-11 21:25:00+00:00,0.72,0.72,0.80
2025-10-11 21:30:00+00:00,0.72,0.72,0.80
2025-10-11 21:35:00+00:00,0.71,0.71,0.79
2025-10-11 21:40:00+00:00,0.70,0.70,0.78
2025-10-11 21:45:00+00:00,0.70,0.70,0.78
2025-10-11 21:50:00+00:00,0.70,0.70,0.78
2025-10-11 21:55:00+00:00,0.67,0.67,0.75
2025-10-11 22:00:00+00:00,0.64,0.64,0.72
2025-10-11 22:05:00+00:00,0.65,0.65,0.73
2025-10-11 22:10:00+00:00,0.66,0.66,0.74
2025-10-11 22:15:00+00:00,0.64,0.64,0.72
2025-10-11 22:20:00+00:00,0.62,0.62,0.70
2025-10-11 22:25:00+00:00,0.63,0.63,0.71
2025-10-11 22:30:00+00:00,0.64,0.64,0.72
2025-10-11 22:35:00+00:00,0.63,0.63,0.71
2025-10-11 22:40:00+00:00,0.62,0.62,0.70
2025-10-11 22:45:00+00:00,0.61,0.61,0.69
2025-10-11 22:50:00+00:00,0.61,0.61,0.69
2025-10-11 22:55:00+00:00,0.62,0.62,0.70
2025-10-11 23:00:00+00:00,0.62,0.62,0.70
2025-10-11 23:05:00+00:00,0.62,0.62,0.70
2025-10-11 23:10:00+00:00,0.62,0.62,0.70
2025-10-11 23:15:00+00:00,0.63,0.63,0.71
2025-10-11 23:20:00+00:00,0.64,0.64,0.72
2025-10-11 23:25:00+00:00,0.62,0.62,0.70
2025-10-11 23:30:00+00:00,0.60,0.60,0.68
2025-10-11 23:35:00+00:00,0.61,0.61,0.69
2025-10-11 23:40:00+00:00,0.62,0.62,0.70
2025-10-11 23:45:00+00:00,0.60,0.60,0.68
2025-10-11 23:50:00+00:00,0.59,0.59,0.67
