zone_id,L_min,critical,glare_weight,complaint_zone,L_min_lux,critical_flag,d_min_percent,d_max_percent,ramp_percent_per_step,min_dwell_min
ZN_074,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_075,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_076,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_077,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_078,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_079,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_080,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_081,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_082,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_083,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_084,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_085,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_086,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_087,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_088,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_089,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_090,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_091,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_092,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_093,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_094,20.0,False,0.4,0,20.0,0,10,100,15,15
ZN_095,20.0,False,0.7,0,20.0,0,10,100,15,15
ZN_096,20.0,False,0.4,0,20.0,0,10,100,15,15
