station_id,charger_id,max_kw,ramp_kw_per_min,concurrency,is_swap,feeder_id,available
CHS_03,CHG_040,175.92560087744025,40.0,1,0,FDR_1,1
CHS_03,CHG_041,188.37823203707572,40.0,1,0,FDR_1,1
CHS_03,CHG_042,187.83649582166646,40.0,1,0,FDR_1,1
CHS_04,CHG_043,179.25193790530633,40.0,1,0,FDR_2,1
CHS_04,CHG_044,165.51964988843937,40.0,1,0,FDR_2,1
CHS_04,CHG_045,183.58115745935268,40.0,1,0,FDR_2,1
CHS_04,CHG_046,175.85670415817341,40.0,1,0,FDR_2,1
CHS_04,CHG_047,187.30502688221569,40.0,1,0,FDR_2,1
CHS_04,CHG_048,190.73553062768482,40.0,1,0,FDR_2,1
CHS_04,CHG_049,159.83073746925783,40.0,1,0,FDR_2,1
CHS_04,CHG_050,180.01028798897582,40.0,1,0,FDR_2,1
CHS_04,CHG_051,180.57415070365337,40.0,1,0,FDR_2,1
CHS_04,CHG_052,197.40031659074566,40.0,1,0,FDR_2,1
CHS_04,CHG_053,181.10653892999252,40.0,1,0,FDR_2,1
CHS_04,CHG_054,176.33370483897372,40.0,1,0,FDR_2,1
CHS_04,CHG_055,178.66926211007856,40.0,1,0,FDR_2,1
CHS_04,CHG_056,176.14938104823955,40.0,1,0,FDR_2,1
CHS_05,CHG_057,178.69525792894999,40.0,1,0,FDR_2,1
CHS_05,CHG_058,180.15372133838108,40.0,1,0,FDR_2,1
CHS_05,CHG_059,180.32856294946933,40.0,1,0,FDR_2,1
CHS_05,CHG_060,181.00960078104774,40.0,1,0,FDR_2,1
CHS_05,CHG_061,173.49480271254913,40.0,1,0,FDR_2,1
CHS_05,CHG_062,185.37199611596267,40.0,1,0,FDR_2,1
CHS_05,CHG_063,178.83085879113418,40.0,1,0,FDR_2,1
CHS_05,CHG_064,181.9028439835898,40.0,1,0,FDR_2,1
CHS_05,CHG_065,177.83977762326887,40.0,1,0,FDR_2,1
CHS_05,CHG_066,180.44263310455494,40.0,1,0,FDR_2,1
CHS_05,CHG_067,188.15298684692485,40.0,1,0,FDR_2,1
CHS_05,CHG_068,184.37622570349416,40.0,1,0,FDR_2,1
CHS_05,CHG_069,193.5670477842238,40.0,1,0,FDR_2,1
CHS_05,CHG_070,170.3134498914609,40.0,1,0,FDR_2,1
CHS_06,CHG_071,177.8213700200011,40.0,1,0,FDR_2,1
CHS_06,CHG_072,173.0565907948938,40.0,1,0,FDR_2,1
CHS_06,CHG_073,169.26349597037526,40.0,1,0,FDR_2,1
CHS_06,CHG_074,180.2828231761145,40.0,1,0,FDR_2,1
CHS_06,CHG_075,169.98076281401174,40.0,1,0,FDR_2,1
CHS_06,CHG_076,175.67639594973423,40.0,1,0,FDR_2,1
CHS_06,CHG_077,175.9059727600249,40.0,1,0,FDR_2,1
CHS_06,CHG_078,179.63524157864475,40.0,1,0,FDR_2,1
CHS_06,CHG_079,183.49336927488997,40.0,1,0,FDR_2,1
CHS_06,CHG_080,187.66049139485102,40.0,1,0,FDR_2,1
CHS_06,CHG_081,160.56919059505967,40.0,1,0,FDR_2,1
CHS_06,CHG_082,182.39994115026812,40.0,1,0,FDR_2,1
CHS_06,CHG_083,187.24369963301172,40.0,1,0,FDR_2,1
CHS_06,CHG_084,167.44422205191708,40.0,1,0,FDR_2,1
