vehicle_id,battery_kwh,p_charge_max_kw,soc_min,soc_max,soc_target,can_swap
AGV_060,194.68,175.6,0.15,0.95,0.8,0
AGV_061,205.49,149.8,0.15,0.95,0.8,0
AGV_062,222.54,150.2,0.15,0.95,0.8,0
AGV_063,196.59,164.4,0.15,0.95,0.8,0
AGV_064,182.15,159.6,0.15,0.95,0.8,0
AGV_065,201.09,157.7,0.15,0.95,0.8,0
AGV_066,196.59,141.3,0.15,0.95,0.8,0
AGV_067,195.33,162.5,0.15,0.95,0.8,0
AGV_068,195.66,159.4,0.15,0.95,0.8,0
AGV_069,223.01,155.2,0.15,0.95,0.8,0
AGV_070,219.69,165.7,0.15,0.95,0.8,0
AGV_071,190.52,169.4,0.15,0.95,0.8,0
AGV_072,203.88,169.4,0.15,0.95,0.8,0
AGV_073,202.34,164.7,0.15,0.95,0.8,0
AGV_074,199.24,161.8,0.15,0.95,0.8,0
AGV_075,191.51,162.9,0.15,0.95,0.8,0
AGV_076,194.16,152.4,0.15,0.95,0.8,0
AGV_077,201.73,147.9,0.15,0.95,0.8,0
AGV_078,223.78,148.7,0.15,0.95,0.8,0
AGV_079,194.41,148.7,0.15,0.95,0.8,0
AGV_080,206.26,167.2,0.15,0.95,0.8,0
AGV_081,194.1,149.2,0.15,0.95,0.8,0
AGV_082,208.16,161.1,0.15,0.95,0.8,0
AGV_083,201.47,161.0,0.15,0.95,0.8,0
AGV_084,188.41,161.5,0.15,0.95,0.8,0
AGV_085,193.35,140.1,0.15,0.95,0.8,0
AGV_086,213.42,187.2,0.15,0.95,0.8,0
AGV_087,194.23,164.2,0.15,0.95,0.8,0
AGV_088,216.15,163.1,0.15,0.95,0.8,0
AGV_089,190.71,163.4,0.15,0.95,0.8,0
AGV_090,185.84,166.0,0.15,0.95,0.8,0
AGV_091,203.11,161.8,0.15,0.95,0.8,0
AGV_092,217.99,158.4,0.15,0.95,0.8,0
AGV_093,191.83,146.0,0.15,0.95,0.8,0
AGV_094,202.6,158.4,0.15,0.95,0.8,0
AGV_095,198.1,156.3,0.15,0.95,0.8,0
AGV_096,211.29,156.8,0.15,0.95,0.8,0
AGV_097,200.1,155.6,0.15,0.95,0.8,0
AGV_098,203.19,171.1,0.15,0.95,0.8,0
AGV_099,175.76,152.3,0.15,0.95,0.8,0
AGV_100,189.48,154.9,0.15,0.95,0.8,0
AGV_101,188.95,156.0,0.15,0.95,0.8,0
AGV_102,180.42,152.0,0.15,0.95,0.8,0
AGV_103,189.5,143.0,0.15,0.95,0.8,0
AGV_104,207.13,148.7,0.15,0.95,0.8,0
AGV_105,188.3,186.5,0.15,0.95,0.8,0
AGV_106,196.18,171.7,0.15,0.95,0.8,0
AGV_107,190.11,163.6,0.15,0.95,0.8,0
AGV_108,215.36,151.1,0.15,0.95,0.8,0
AGV_109,209.86,163.3,0.15,0.95,0.8,0
AGV_110,224.59,158.9,0.15,0.95,0.8,0
AGV_111,184.12,143.3,0.15,0.95,0.8,0
AGV_112,202.41,168.7,0.15,0.95,0.8,0
AGV_113,195.77,146.6,0.15,0.95,0.8,0
AGV_114,219.87,155.8,0.15,0.95,0.8,0
AGV_115,219.82,163.3,0.15,0.95,0.8,0
AGV_116,188.45,152.6,0.15,0.95,0.8,0
AGV_117,200.54,135.8,0.15,0.95,0.8,0
AGV_118,211.6,156.6,0.15,0.95,0.8,0
AGV_119,183.5,158.5,0.15,0.95,0.8,0
AGV_120,190.27,148.3,0.15,0.95,0.8,0
AGV_121,228.83,151.2,0.15,0.95,0.8,0
AGV_122,202.0,160.2,0.15,0.95,0.8,0
AGV_123,215.3,157.8,0.15,0.95,0.8,0
AGV_124,181.72,154.3,0.15,0.95,0.8,0
AGV_125,199.25,138.4,0.15,0.95,0.8,0
AGV_126,203.06,162.7,0.15,0.95,0.8,0
AGV_127,188.13,141.4,0.15,0.95,0.8,0
AGV_128,203.7,152.0,0.15,0.95,0.8,0
AGV_129,191.19,158.9,0.15,0.95,0.8,0
AGV_130,195.36,169.4,0.15,0.95,0.8,0
